Series_Title,Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,No_of_Votes,Gross,Predicted_Gross,Rating_Score
Barfi!,2012.0,U,151,"Comedy, Drama, Romance",8.1,77.97153024911032,75721,2804874.0,-8084961.329203606,7.948576512455515
12 Years a Slave,2013.0,A,134,"Biography, Drama, History",8.1,96.0,640533,56671993.0,127056022.11224724,8.85
Rush,2013.0,UA,123,"Action, Biography, Drama",8.1,74.0,432811,26947624.0,77354961.64889824,7.75
Ford v Ferrari,2019.0,UA,152,"Action, Biography, Drama",8.1,81.0,291289,117624028.0,43493389.55304861,8.1
Spotlight,2015.0,A,129,"Biography, Crime, Drama",8.1,93.0,420316,45055776.0,74365318.03633177,8.7
Song of the Sea,2014.0,PG,93,"Animation, Adventure, Drama",8.1,85.0,51679,857524.0,-13837423.252638936,8.3
Kahaani,2012.0,UA,122,"Mystery, Thriller",8.1,77.97153024911032,57806,1035953.0,-12371433.143459678,7.948576512455515
Zindagi Na Milegi Dobara,2011.0,U,155,"Comedy, Drama",8.1,77.97153024911032,67927,3108485.0,-9949809.853921056,7.948576512455515
Prisoners,2013.0,A,153,"Crime, Drama, Mystery",8.1,70.0,601149,61002302.0,117632722.86956452,7.55
Mad Max: Fury Road,2015.0,UA,120,"Action, Adventure, Sci-Fi",8.1,90.0,882316,154058340.0,184906762.53459013,8.55
Gran Torino,2008.0,R,116,Drama,8.1,72.0,720450,148095302.0,146177538.60568297,7.65
Harry Potter and the Deathly Hallows: Part 2,2011.0,UA,130,"Adventure, Drama, Fantasy",8.1,85.0,764493,381011219.0,156715583.7139877,8.3
Okuribito,2008.0,PG-13,130,"Drama, Music",8.1,68.0,48582,1498210.0,-14578433.758290768,7.449999999999999
How to Train Your Dragon,2010.0,U,98,"Animation, Action, Adventure",8.1,75.0,666773,217581231.0,133334393.33223486,7.8
